Price(VND),Acreage,Area,Bedrooms,Floors,Parking,Address,District
6700000000.0,82,6x14m,4,3.0,1,"Đường Thái Thị Giữ, Xã Bà Điểm, Hồ Chí Minh",Xã Bà Điểm
19000000000.0,51,"4,6x11m",5,5.0,1,"Đường Nguyễn Thiện Thuật, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
29000000000.0,178,"9,2x18m",4,2.0,0,"Đường Số 2, Phường Thủ Đức, Hồ Chí Minh",Phường Thủ Đức
3300000000.0,56,"4,85x11,5m",3,2.0,0,"Đường Huỳnh Tấn Phát, Phường Tân Mỹ, Hồ Chí Minh",Phường Tân Mỹ
15800000000.0,35,"3,75x10m",5,4.0,0,"Đường Bàn Cờ, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
49000000000.0,103,"6,2x17m",6,2.0,0,"Đường Trần Quốc Toản, Phường Xuân Hòa, Hồ Chí Minh",Phường Xuân Hòa
65000000000.0,81,"5,6x16m",9,6.0,0,"Đường Nguyễn Tri Phương, Phường Vườn Lài, Hồ Chí Minh",Phường Vườn Lài
45000000000.0,89,"5,2x18m",10,5.0,0,"Đường Cao Thắng, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
15000000000.0,36,6x6m,3,6.0,0,"Đường Hoàng Sa, Phường Tân Định, Hồ Chí Minh",Phường Tân Định
9900000000.0,120,5x24m,7,3.0,1,"Đường Phạm Thế Hiển, Phường Bình Đông, Hồ Chí Minh",Phường Bình Đông
7000000000.0,27,3x9m,5,3.0,0,"Đường Nguyễn Thị Minh Khai, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
90000000000.0,215,"8,6x26m",6,5.0,0,"Đường Hoàng Diệu, Phường Xóm Chiếu, Hồ Chí Minh",Phường Xóm Chiếu
325000000000.0,2122,45x50m,1,1.0,0,"Đường Ung Văn Khiêm, Phường Thạnh Mỹ Tây, Hồ Chí Minh",Phường Thạnh Mỹ Tây
6900000000.0,59,4x15m,3,4.0,1,"Đường Bờ Bao Tân Thắng, Phường Tây Thạnh, Hồ Chí Minh",Phường Tây Thạnh
8800000000.0,78,"4x21,5m",5,4.0,1,"Đường Nguyễn Văn Khối, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
19000000000.0,70,4x18m,4,4.0,0,"Đường Phan Huy Thực, Phường Tân Hưng, Hồ Chí Minh",Phường Tân Hưng
8700000000.0,45,"3,1x15m",5,4.0,0,"Đường Hưng Phú, Phường Chánh Hưng, Hồ Chí Minh",Phường Chánh Hưng
57000.0,57,"4,3x12m",4,3.0,1,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Xã Nhà Bè
9800000000.0,57,4x14m,3,2.0,1,"Đường Cách Mạng Tháng 8, Phường Hòa Hưng, Hồ Chí Minh",Phường Hòa Hưng
8300000000.0,36,"3,5x11m",2,4.0,0,"Đường Nguyễn Đình Chiểu, Phường Bàn Cờ, Hồ Chí Minh",Phường Bàn Cờ
6680000000.0,36,4x9m,3,4.0,1,"Đường Quang Trung, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
8700000000.0,83,4x21m,5,5.0,0,"Đường Trương Phước Phan, Phường Bình Trị Đông, Hồ Chí Minh",Phường Bình Trị Đông
15000000000.0,95,5x19m,4,3.0,0,"Đường Lê Văn Thọ, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
16800000000.0,80,4x20m,6,4.0,1,"Đường Nguyễn Văn Khối, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
6000000000.0,35,"3,5x10m",3,4.0,1,"Đường Nguyễn Văn Khối, Phường Thông Tây Hội, Hồ Chí Minh",Phường Thông Tây Hội
